,ACS_05,ACS_06,ACS_07,ACS_08,ACS_09,ACS_10,ACS_11,ACS_12,ACS_13,ACS_14,ACS_15,ACS_16
"Alameda County, California",71192.0,76006.0,68095.0,70381.0,68917.0,71978.0,71929.0,74141,80081.0,75990,73840.0,77072.0
"Butte County, California",,,,,,12104.0,11772.0,12904,10707.0,12260,12071.0,11351.0
"Contra Costa County, California",53698.0,60545.0,59104.0,58235.0,55317.0,49304.0,50819.0,51752,54973.0,57352,56487.0,56616.0
"El Dorado County, California",,,,,,,,11148,,11230,,8296.0
"Fresno County, California",39477.0,45121.0,45839.0,42346.0,35766.0,44280.0,39691.0,36811,40769.0,38943,43395.0,40323.0
"Humboldt County, California",,,,,,,,7210,,8227,,
"Kern County, California",37655.0,35231.0,32473.0,34612.0,31134.0,36365.0,36163.0,33549,35647.0,36203,35869.0,39364.0
"Los Angeles County, California",460548.0,488499.0,481327.0,509493.0,466810.0,468911.0,470340.0,483645,503655.0,508530,509564.0,516604.0
"Marin County, California",,,,,,12192.0,13948.0,14282,11435.0,13832,13600.0,10056.0
"Merced County, California",,,,,,12277.0,11821.0,10097,11193.0,10319,10402.0,12938.0
"Monterey County, California",20610.0,18265.0,21103.0,19489.0,18375.0,21896.0,16726.0,18226,18759.0,17865,16367.0,20163.0
"Napa County, California",,,,,,6491.0,,7634,8366.0,7854,6035.0,
"Orange County, California",146243.0,161028.0,151451.0,172500.0,147721.0,157885.0,165795.0,171241,170201.0,165416,155444.0,179482.0
"Placer County, California",,,20986.0,20603.0,22357.0,21120.0,18678.0,19801,21028.0,18966,20366.0,22000.0
"Riverside County, California",110952.0,119795.0,115116.0,115546.0,105255.0,118193.0,114835.0,123473,114740.0,120680,132484.0,130841.0
"Sacramento County, California",67638.0,71973.0,71189.0,70910.0,68099.0,70621.0,69293.0,71584,70357.0,73059,75557.0,75507.0
"San Bernardino County, California",97822.0,109057.0,106368.0,113669.0,101761.0,100778.0,104800.0,107407,111436.0,109715,115497.0,116210.0
"San Diego County, California",144900.0,146581.0,148910.0,152997.0,152334.0,142231.0,158554.0,158234,168262.0,157313,164890.0,163305.0
"San Francisco County, California",36235.0,34772.0,37794.0,38579.0,44317.0,42315.0,49862.0,45543,48176.0,47445,50631.0,44029.0
"San Joaquin County, California",33577.0,32890.0,32944.0,33068.0,33412.0,28767.0,32572.0,36930,31714.0,32882,36219.0,38821.0
"San Luis Obispo County, California",,12836.0,,14403.0,16527.0,15981.0,15555.0,16740,14842.0,13146,15230.0,14704.0
"San Mateo County, California",38177.0,38805.0,42458.0,37029.0,36118.0,33553.0,34607.0,36990,46125.0,37195,41021.0,36189.0
"Santa Barbara County, California",17120.0,18792.0,16601.0,21740.0,17879.0,18284.0,19440.0,20345,24274.0,21235,19700.0,21842.0
"Santa Clara County, California",82173.0,77387.0,81765.0,86412.0,84224.0,88192.0,84606.0,87361,89042.0,87549,84976.0,81610.0
"Santa Cruz County, California",,,,,,12295.0,15663.0,15802,14340.0,14287,12775.0,15670.0
"Shasta County, California",,,,,,,,8668,9418.0,11262,9931.0,9674.0
"Solano County, California",19968.0,22110.0,21913.0,22185.0,23612.0,18728.0,20837.0,24090,19713.0,24251,23444.0,21470.0
"Sonoma County, California",24847.0,33493.0,29703.0,31446.0,28145.0,31387.0,27964.0,30106,28810.0,27802,28466.0,30121.0
"Stanislaus County, California",30735.0,27896.0,29302.0,28745.0,21664.0,26086.0,26745.0,28422,28795.0,26450,30317.0,29634.0
"Tulare County, California",16577.0,17837.0,16917.0,17463.0,18565.0,19518.0,18426.0,16996,20535.0,20450,19712.0,18532.0
"Ventura County, California",42120.0,43235.0,43487.0,41371.0,43749.0,43469.0,45414.0,44519,43834.0,46973,45622.0,41459.0
"Yolo County, California",,,,,,8673.0,8176.0,8940,9817.0,9590,9946.0,9770.0
