,ACS_05,ACS_06,ACS_07,ACS_08,ACS_09,ACS_10,ACS_11,ACS_12,ACS_13,ACS_14,ACS_15,ACS_16
"Alameda County, California",28636.0,22527.0,23795.0,25691.0,23567.0,23531.0,18509.0,21664,20850.0,21468,22451.0,20774.0
"Butte County, California",,,,,,2197.0,1644.0,1606,1558.0,1907,1277.0,1787.0
"Contra Costa County, California",15367.0,15159.0,14386.0,14374.0,11422.0,13364.0,9847.0,13385,11852.0,13680,12554.0,13038.0
"El Dorado County, California",,,,,,,,1055,,1117,,1679.0
"Fresno County, California",18967.0,18567.0,18695.0,15609.0,15788.0,13572.0,16206.0,14741,14704.0,13644,13517.0,14794.0
"Humboldt County, California",,,,,,,,1165,,844,,
"Kern County, California",12452.0,11562.0,9308.0,10391.0,9504.0,9392.0,7692.0,9897,8988.0,10058,11229.0,10474.0
"Los Angeles County, California",193331.0,201425.0,174599.0,180565.0,160758.0,159909.0,162179.0,161787,162638.0,165783,164029.0,172930.0
"Marin County, California",,,,,,3006.0,2692.0,2406,3354.0,2862,4279.0,3301.0
"Merced County, California",,,,,,4241.0,3775.0,2804,2498.0,2862,2451.0,2168.0
"Monterey County, California",9928.0,7734.0,6071.0,5913.0,4472.0,4334.0,5547.0,5084,4470.0,4925,6314.0,4851.0
"Napa County, California",,,,,,2265.0,,1207,1771.0,1756,2489.0,
"Orange County, California",69891.0,65313.0,60164.0,56445.0,58726.0,55250.0,54265.0,49545,55412.0,59630,54080.0,59006.0
"Placer County, California",,,5085.0,4507.0,5952.0,3886.0,4092.0,5829,5465.0,4631,4291.0,4003.0
"Riverside County, California",27371.0,32279.0,28706.0,30188.0,30042.0,30577.0,29295.0,28915,29290.0,29550,27643.0,28371.0
"Sacramento County, California",22725.0,21465.0,19339.0,17328.0,16075.0,16876.0,15974.0,13022,14232.0,17686,17500.0,17548.0
"San Bernardino County, California",37195.0,35343.0,37084.0,36038.0,29294.0,30002.0,23979.0,28536,31935.0,30634,29403.0,30354.0
"San Diego County, California",42078.0,41338.0,41118.0,36819.0,39355.0,35581.0,33333.0,30368,37655.0,37134,43902.0,38316.0
"San Francisco County, California",11088.0,8440.0,9214.0,8696.0,9312.0,10024.0,8446.0,6811,10361.0,8478,8187.0,10756.0
"San Joaquin County, California",11717.0,12242.0,11864.0,11418.0,10100.0,10822.0,14267.0,9879,11835.0,11721,10317.0,11295.0
"San Luis Obispo County, California",,3245.0,,2994.0,3335.0,2074.0,1896.0,2854,2335.0,3780,2099.0,3640.0
"San Mateo County, California",12904.0,14184.0,11400.0,9876.0,11352.0,9701.0,8412.0,8788,9386.0,9078,9025.0,8916.0
"Santa Barbara County, California",6306.0,4364.0,4049.0,3727.0,5287.0,4821.0,4354.0,3434,4537.0,5103,4716.0,3950.0
"Santa Clara County, California",24859.0,25644.0,24047.0,21084.0,17572.0,18133.0,19732.0,19113,19045.0,23590,17620.0,18409.0
"Santa Cruz County, California",,,,,,3041.0,3053.0,3860,3799.0,3167,3677.0,3492.0
"Shasta County, California",,,,,,,,1242,1237.0,1372,1192.0,1142.0
"Solano County, California",5402.0,5234.0,5393.0,5559.0,5268.0,5070.0,4878.0,5194,4703.0,5832,5673.0,4922.0
"Sonoma County, California",6163.0,8555.0,6068.0,7183.0,6458.0,6951.0,8318.0,4615,7272.0,7116,7516.0,8215.0
"Stanislaus County, California",10253.0,8460.0,9116.0,8733.0,7411.0,9122.0,10014.0,7084,8782.0,9420,10863.0,6700.0
"Tulare County, California",8408.0,8681.0,6048.0,7654.0,7653.0,9748.0,5461.0,8000,7489.0,7270,4689.0,5591.0
"Ventura County, California",16274.0,15703.0,13421.0,12854.0,10596.0,15180.0,13930.0,13439,13131.0,14161,10636.0,12220.0
"Yolo County, California",,,,,,1763.0,1694.0,2271,2051.0,2621,1953.0,3307.0
