,ACS_05,ACS_06,ACS_07,ACS_08,ACS_09,ACS_10,ACS_11,ACS_12,ACS_13,ACS_14,ACS_15,ACS_16
"Alameda County, California",31756.0,37379.0,41930.0,35949.0,39592.0,41096.0,52158.0,54406,48280.0,56124,53959.0,58708.0
"Butte County, California",,,,,,6194.0,5682.0,7797,7221.0,8426,10041.0,8508.0
"Contra Costa County, California",27261.0,29817.0,31269.0,27177.0,26506.0,30273.0,27578.0,29909,35655.0,36403,36001.0,39006.0
"El Dorado County, California",,,,,,,,6445,,5376,,7886.0
"Fresno County, California",19410.0,20543.0,22017.0,25420.0,21712.0,25914.0,22881.0,24719,25595.0,28772,27230.0,28865.0
"Humboldt County, California",,,,,,,,7225,,6949,,
"Kern County, California",18636.0,18313.0,21815.0,21900.0,19868.0,20533.0,23928.0,23904,23410.0,23521,23835.0,26976.0
"Los Angeles County, California",278482.0,296362.0,316034.0,309083.0,312008.0,310310.0,316086.0,326664,350197.0,378430,378681.0,400127.0
"Marin County, California",,,,,,7308.0,7354.0,10085,6910.0,7985,6841.0,9325.0
"Merced County, California",,,,,,6679.0,6190.0,4684,6167.0,6707,6505.0,7071.0
"Monterey County, California",17549.0,12019.0,14766.0,17684.0,13083.0,13312.0,12999.0,15400,16441.0,17874,18075.0,14215.0
"Napa County, California",,,,,,6062.0,,7450,7553.0,6922,9014.0,
"Orange County, California",91298.0,98921.0,99480.0,108995.0,107329.0,103333.0,108998.0,117904,126890.0,125557,131349.0,127707.0
"Placer County, California",,,8382.0,10715.0,8422.0,7824.0,10503.0,11371,12495.0,11010,11948.0,10809.0
"Riverside County, California",58665.0,64394.0,68685.0,69408.0,61842.0,67467.0,65970.0,68640,74450.0,79857,80128.0,82885.0
"Sacramento County, California",36139.0,40923.0,42221.0,43828.0,39062.0,39580.0,42302.0,45291,41878.0,47921,48012.0,48856.0
"San Bernardino County, California",47544.0,52378.0,53899.0,57537.0,53167.0,54625.0,56393.0,55433,57822.0,57621,67389.0,62686.0
"San Diego County, California",92594.0,102040.0,105496.0,107095.0,99529.0,104172.0,113917.0,114729,123977.0,133427,140503.0,134513.0
"San Francisco County, California",33436.0,39407.0,42627.0,41389.0,41988.0,41187.0,44284.0,44123,43465.0,50751,44597.0,45258.0
"San Joaquin County, California",18413.0,15143.0,15509.0,16885.0,16059.0,19437.0,17201.0,15843,22065.0,19049,18476.0,20832.0
"San Luis Obispo County, California",,12903.0,,11246.0,11180.0,10570.0,12927.0,11407,11815.0,13031,13171.0,13991.0
"San Mateo County, California",19726.0,20013.0,22515.0,25494.0,22362.0,25766.0,26927.0,31773,29544.0,30542,33741.0,34585.0
"Santa Barbara County, California",11630.0,15733.0,14388.0,14792.0,16537.0,17241.0,20063.0,16525,17745.0,19291,20636.0,22377.0
"Santa Clara County, California",43857.0,46216.0,49013.0,50523.0,44912.0,44117.0,49327.0,53216,55506.0,58760,63924.0,66781.0
"Santa Cruz County, California",,,,,,9828.0,11835.0,13791,11978.0,10141,14421.0,11549.0
"Shasta County, California",,,,,,,,6500,5771.0,5539,5415.0,6149.0
"Solano County, California",9892.0,10337.0,10165.0,11743.0,11563.0,15133.0,11579.0,11315,15654.0,13654,11720.0,16485.0
"Sonoma County, California",16733.0,16634.0,17273.0,17732.0,15804.0,16429.0,15154.0,17885,19063.0,21052,18734.0,23055.0
"Stanislaus County, California",8583.0,13256.0,13944.0,15315.0,12699.0,12680.0,15848.0,12504,16001.0,13534,15064.0,16840.0
"Tulare County, California",5817.0,7788.0,10222.0,8771.0,10013.0,9594.0,7789.0,10624,10732.0,8323,11883.0,12235.0
"Ventura County, California",20646.0,22612.0,21286.0,23641.0,23512.0,26198.0,24662.0,30481,28633.0,28436,30078.0,28599.0
"Yolo County, California",,,,,,4330.0,5454.0,5839,6137.0,7969,7679.0,6056.0
