,Year,Agriculture,Wholesale,Retail,FoodServices,Agr_IR,Who_IR,Ret_IR,Fds_IR
0,ACS_05,10509.0,193331.0,460548.0,278482.0,,,,
1,ACS_06,9879.0,201425.0,488499.0,296362.0,-0.05994861547245223,0.0418660225209615,0.06069074233304672,0.06420522690874098
2,ACS_07,10751.0,174599.0,481327.0,316034.0,0.08826804332422311,-0.13318108477100654,-0.0146817086626585,0.06637828061627338
3,ACS_08,13607.0,180565.0,509493.0,309083.0,0.2656497070039996,0.03416972605799584,0.05851739046427906,-0.021994468949543378
4,ACS_09,19139.0,160758.0,466810.0,312008.0,0.4065554494010435,-0.10969456982250159,-0.08377543950554767,0.00946347744780529
5,ACS_10,21660.0,159909.0,468911.0,310310.0,0.13172057056272535,-0.0052812301720598365,0.004500760480709465,-0.005442168149534576
6,ACS_11,21508.0,162179.0,470340.0,316086.0,-0.007017543859649145,0.014195573732560307,0.003047486623261042,0.018613644420095943
7,ACS_12,17120.0,161787.0,483645.0,326664.0,-0.2040171099125907,-0.0024170823596150193,0.02828804694476328,0.033465575824300986
8,ACS_13,19579.0,162638.0,503655.0,350197.0,0.14363317757009342,0.005260002348767223,0.041373321341066305,0.07204038400313473
9,ACS_14,21762.0,165783.0,508530.0,378430.0,0.11149701210480623,0.01933742421820228,0.009679244721088942,0.08062033655342571
10,ACS_15,23133.0,164029.0,509564.0,378681.0,0.06299972429004685,-0.010580095667227618,0.002033311702357876,0.0006632666543349153
11,ACS_16,16789.0,172930.0,516604.0,400127.0,-0.27424026282799463,0.054264794639972136,0.01381573266557301,0.05663341968569857
